"rank","region","logo","team","opponent","opponent_logo"
16,"South","https://a.espncdn.com/i/teamlogos/ncaa/500/357.png","Texas A&M-Corpus Christi Islanders","Alabama Crimson Tide","https://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
1,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","Kansas Jayhawks","Howard Bison","https://a.espncdn.com/i/teamlogos/ncaa/500/47.png"
2,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png","UCLA Bruins","UNC Asheville Bulldogs","https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png"
3,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png","Gonzaga Bulldogs","Grand Canyon Lopes","https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png"
4,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png","UConn Huskies","Iona Gaels","https://a.espncdn.com/i/teamlogos/ncaa/500/314.png"
5,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png","Saint Mary's Gaels","VCU Rams","https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png"
6,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","TCU Horned Frogs","Nevada/Arizona State",""
7,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/77.png","Northwestern Wildcats","Boise State Broncos","https://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
8,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/8.png","Arkansas Razorbacks","Illinois Fighting Illini","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png"
9,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png","Illinois Fighting Illini","Arkansas Razorbacks","https://a.espncdn.com/i/teamlogos/ncaa/500/8.png"
10,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/68.png","Boise State Broncos","Northwestern Wildcats","https://a.espncdn.com/i/teamlogos/ncaa/500/77.png"
11,"West","","Nevada/Arizona State","TCU Horned Frogs","https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"
12,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png","VCU Rams","Saint Mary's Gaels","https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png"
13,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/314.png","Iona Gaels","UConn Huskies","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png"
14,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png","Grand Canyon Lopes","Gonzaga Bulldogs","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png"
15,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png","UNC Asheville Bulldogs","UCLA Bruins","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
16,"West","https://a.espncdn.com/i/teamlogos/ncaa/500/47.png","Howard Bison","Kansas Jayhawks","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png"
